-89.67000  25.86000  42001  999
-93.56750  25.89167  42002  999
-85.91417  25.93611  42003  999
-85.50000  27.50000  42004  999
-85.89972  30.00000  42005  999
-96.00000  26.50000  42006  999
-95.30000  24.69972  42008  999
-87.50000  29.30000  42009  999
-93.39972  29.69972  42010  999
-93.50000  29.60000  42011  999
-87.55472  30.06528  42012  999
-87.39972  29.30000  42014  999
-88.19972  30.19972  42015  999
-88.17833  30.08333  42016  999
-90.89972  27.89972  42017  999
-88.19972  30.00000  42018  999
-95.38583  27.90222  42019  999
-96.69500  26.96639  42020  999
-94.41278  29.23167  42035  999
-84.51028  28.50611  42036  999
-81.38111  24.50778  42037  999
-92.55444  27.42083  42038  999
-86.00806  28.79111  42039  999
-88.20000  29.20833  42040  999
-90.46222  27.50389  42041  999
-88.50417  29.55083  42053  999
-87.73056  26.00000  42054  999
-94.04583  22.01722  42055  999
-85.05889  19.87417  42056  999
-81.94861  24.38806  42080  999
-84.27680  27.34340  42099  999
